GENEID	TOPOID	FOUND	STUDIED
ENSG00000228760	78	1	48
ENSG00000101327	31	1	1
ENSG00000203623	31	1	1
ENSG00000125834	31	1	27
ENSG00000206408	75	1	1
ENSG00000125304	31	1	1
ENSG00000125780	9	4	15
ENSG00000125780	31	3	3
ENSG00000125780	78	1	32
ENSG00000099949	31	2	2
ENSG00000099949	65	2	188
ENSG00000167037	5	2	2
ENSG00000167037	31	2	2
ENSG00000167037	135	1	1
ENSG00000231377	31	2	2
ENSG00000231377	75	2	101
ENSG00000101680	5	1	22
ENSG00000101680	9	3	18
ENSG00000101680	14	1	7
ENSG00000101680	31	8	8
ENSG00000101680	78	2	32
ENSG00000101680	135	2	24
ENSG00000134438	5	1	22
ENSG00000166948	31	3	3
ENSG00000101384	5	1	447
ENSG00000101384	31	1	1
ENSG00000101384	65	2	199
ENSG00000101384	135	1	24
ENSG00000166569	31	1	1
ENSG00000233911	123	1	6
ENSG00000125835	31	1	1
ENSG00000175198	123	2	7
ENSG00000237095	31	1	1
ENSG00000237095	75	1	101
ENSG00000237095	78	2	41
ENSG00000234729	78	1	20
ENSG00000157540	31	1	27
ENSG00000183287	31	1	1
ENSG00000206422	2	1	1
ENSG00000206422	31	1	1
ENSG00000197077	65	1	1
ENSG00000229684	31	1	1
ENSG00000206403	31	1	1
ENSG00000156256	135	1	23
ENSG00000227761	31	1	1
ENSG00000227761	78	1	48
